,frame.time_relative,direction,frame.len
0,0.0,0,74
1,0.000139,0,74
2,0.000951,0,66
3,0.00097,0,413
4,0.001089,0,66
5,0.136535,0,430
6,0.137189,0,66
7,0.138199,0,422
8,0.138247,0,66
9,0.156105,0,1115
10,0.175282,0,522
11,0.175378,0,74
12,0.175473,0,74
13,0.176111,0,66
14,0.187764,0,807
15,0.224566,0,66
16,5.189856,0,66
17,5.189896,0,66
18,5.190097,0,66
19,5.190165,0,66
20,5.190758,0,66
21,5.190764,0,66
22,8.676577,0,74
23,8.676707,0,74
24,8.677518,0,66
25,13.677585,0,66
26,13.677926,0,66
27,13.678728,0,66
28,362.362631,0,74
29,362.362774,0,74
30,362.363586,0,66
31,362.363603,0,353
32,362.363715,0,66
33,362.366101,0,572
34,362.366728,0,66
35,362.38432,0,422
36,362.387784,0,1115
37,362.397884,0,431
38,362.398476,0,807
39,362.398512,0,74
40,362.398596,0,74
41,362.399119,0,66
42,362.399807,0,454
43,362.420458,0,7306
44,362.420571,0,2200
45,362.42139,0,66
46,362.421727,0,66
47,362.46061,0,66
48,367.400526,0,66
49,367.400808,0,66
50,367.401581,0,66
51,367.425628,0,66
52,367.426407,0,66
53,367.426482,0,66
54,368.280413,0,74
55,368.280516,0,74
56,368.281333,0,66
57,368.281375,0,413
58,368.281451,0,66
59,368.283578,0,430
60,368.284127,0,66
61,368.299714,0,422
62,368.302104,0,1114
63,368.340555,0,66
64,371.498445,0,396
65,371.521654,0,3590
66,371.522385,0,66
67,371.522826,0,66
68,371.533162,0,420
69,371.559585,0,3689
70,371.560359,0,66
71,371.600512,0,66
72,376.562768,0,66
73,376.563433,0,66
74,376.563488,0,66
75,3009.998871,0,74
76,3009.999005,0,74
77,3009.999869,0,66
78,3009.999887,0,413
79,3009.999991,0,66
80,3010.001132,0,430
81,3010.001767,0,66
82,3010.0189760000007,0,422
83,3010.021076,0,1114
84,3010.058527,0,66
85,3015.026225,0,66
86,3015.026856,0,66
87,3015.026932,0,66
88,0.0,0,42
89,0.000337,0,42
90,2.497008,0,42
91,2.497177,0,42
92,16.578692999999998,0,50
93,16.578733,0,38
94,16.578777,0,50
95,16.578801000000002,0,38
96,16.57883,0,50
97,16.578879,0,38
98,16.578920999999998,0,50
99,16.578944,0,38
100,16.578969,0,50
101,16.579001,0,38
102,16.579038,0,50
103,16.579073,0,38
104,16.579116,0,50
105,16.579134,0,54
106,16.579152,0,38
107,16.57919,0,50
108,16.579213,0,38
109,16.579265,0,50
110,16.579287,0,38
111,16.579325,0,50
112,16.579345,0,38
113,16.579798,0,54
114,16.579995999999998,0,54
115,16.580164,0,54
116,16.580372,0,54
117,16.580560000000002,0,54
118,16.582624,0,50
119,16.582659,0,38
120,16.582683,0,50
121,16.582701,0,38
122,16.582720000000002,0,50
123,16.582738,0,38
124,16.582757,0,50
125,16.582775,0,38
126,16.582794,0,50
127,16.582812,0,38
128,16.582835,0,50
129,16.582852,0,38
130,16.58287,0,50
131,16.582888,0,38
132,16.582908,0,50
133,16.582926,0,38
134,16.582945000000002,0,50
135,16.582962,0,38
136,16.582981,0,50
137,16.582998,0,38
138,16.583021,0,50
139,16.583038000000002,0,38
140,16.583054999999998,0,54
141,16.58306,0,50
142,16.583077,0,38
143,16.583306,0,54
144,16.583467000000002,0,54
145,16.583607999999998,0,54
146,16.583707999999998,0,54
147,16.583794,0,54
148,16.583872,0,54
149,16.583973999999998,0,54
150,16.584073,0,54
151,16.587865,0,50
152,16.587892,0,38
153,16.58791,0,50
154,16.587926,0,38
155,16.587945,0,50
156,16.587958999999998,0,38
157,16.587974,0,50
158,16.587987,0,38
159,16.588001000000002,0,50
160,16.588017,0,38
161,16.588031,0,50
162,16.588044,0,38
163,16.588060000000002,0,50
164,16.588077,0,38
165,16.588092,0,50
166,16.588106,0,38
167,16.588120999999994,0,50
168,16.588134,0,38
169,16.588148,0,50
170,16.588161,0,38
171,16.588175,0,50
172,16.588186999999998,0,38
173,16.588205,0,50
174,16.588219,0,38
175,16.588233,0,50
176,16.588245,0,38
177,16.588259,0,50
178,16.588269,0,54
179,16.588273,0,38
180,16.588289000000003,0,50
181,16.588302,0,38
182,16.588319,0,50
183,16.588332,0,38
184,16.588347,0,50
185,16.588361,0,38
186,16.588376999999998,0,50
187,16.588392000000002,0,38
188,16.588475,0,54
189,16.58858,0,54
190,16.58867,0,54
191,16.588748000000002,0,54
192,16.588853,0,54
193,16.588954,0,54
194,16.589033999999998,0,54
195,16.589111,0,54
196,16.58921,0,54
197,16.589289,0,54
198,16.589367000000006,0,54
199,16.589464000000003,0,54
200,16.58954,0,54
201,16.58962,0,54
202,16.589717999999998,0,54
203,16.589794,0,54
204,16.593316,0,50
205,16.593346,0,38
206,16.593364,0,50
207,16.593378,0,38
208,16.593392,0,50
209,16.593404999999994,0,38
210,16.593419,0,50
211,16.593431,0,38
212,16.593445000000006,0,50
213,16.593458,0,38
214,16.593475,0,50
215,16.593488,0,38
216,16.593503,0,50
217,16.593516,0,38
218,16.593531,0,50
219,16.59355,0,38
220,16.593571,0,50
221,16.593584,0,38
222,16.593598999999998,0,50
223,16.593612,0,38
224,16.593629,0,50
225,16.593642000000006,0,38
226,16.593656,0,50
227,16.593668,0,38
228,16.593685999999998,0,50
229,16.593698999999994,0,38
230,16.593715,0,54
231,16.59372,0,50
232,16.593733,0,38
233,16.593749,0,50
234,16.593764,0,38
235,16.59378,0,50
236,16.593792999999998,0,38
237,16.593807,0,50
238,16.593821,0,38
239,16.593836,0,50
240,16.59385,0,38
241,16.593866000000002,0,50
242,16.593881,0,38
243,16.593898,0,50
244,16.593914,0,38
245,16.59393,0,54
246,16.593935000000002,0,50
247,16.593949,0,38
248,16.593965,0,50
249,16.593979,0,38
250,16.593994,0,50
251,16.594008,0,38
252,16.594025,0,50
253,16.594041,0,38
254,16.594058999999998,0,50
255,16.594071,0,38
256,16.594088,0,50
257,16.5941,0,38
258,16.594106,0,54
259,16.594117999999998,0,50
260,16.59413,0,38
261,16.594143,0,50
262,16.594154999999994,0,38
263,16.594168,0,50
264,16.594179999999998,0,38
265,16.594193,0,50
266,16.594205,0,38
267,16.594217,0,50
268,16.594229000000002,0,38
269,16.594243,0,54
270,16.594247,0,50
271,16.594259,0,38
272,16.594272,0,50
273,16.594284,0,38
274,16.594298000000002,0,50
275,16.59431,0,38
276,16.594496,0,54
277,16.594582,0,54
278,16.594659,0,54
279,16.594742999999998,0,54
280,16.594823,0,54
281,16.5949,0,54
282,16.594982,0,54
283,16.595062,0,54
284,16.595137,0,54
285,16.595233,0,54
286,16.595314000000002,0,54
287,16.595389,0,54
288,16.595468,0,54
289,16.595547,0,54
290,16.595645,0,54
291,16.595735,0,54
292,16.595812,0,54
293,16.595907999999998,0,54
294,16.595989000000007,0,54
295,16.596065,0,54
296,16.59616,0,54
297,16.596239999999998,0,54
298,16.596316,0,54
299,16.596414000000006,0,54
300,16.596494,0,54
301,16.59657,0,54
